year,stocklong,bbmsy,ffmsy,region ,FisheryType
1999,Canary rockfish Pacific Coast,0.531708945,1.045454545,US West Coast,Rockfish
2000,Canary rockfish Pacific Coast,0.570761015,0.181818182,US West Coast,Rockfish
2001,Canary rockfish Pacific Coast,0.635514019,0.113636364,US West Coast,Rockfish
2002,Canary rockfish Pacific Coast,0.704272363,0.090909091,US West Coast,Rockfish
2003,Canary rockfish Pacific Coast,0.776368491,0.068181818,US West Coast,Rockfish
2004,Canary rockfish Pacific Coast,0.850801068,0.045454545,US West Coast,Rockfish
2005,Canary rockfish Pacific Coast,0.92423231,0.045454545,US West Coast,Rockfish
2006,Canary rockfish Pacific Coast,0.992990654,0.045454545,US West Coast,Rockfish
2007,Canary rockfish Pacific Coast,1.05540721,0.045454545,US West Coast,Rockfish
2008,Canary rockfish Pacific Coast,1.112149533,0.022727273,US West Coast,Rockfish
2009,Canary rockfish Pacific Coast,1.166221629,0.045454545,US West Coast,Rockfish
2010,Canary rockfish Pacific Coast,1.218291055,0.022727273,US West Coast,Rockfish
2011,Canary rockfish Pacific Coast,1.267022697,0.045454545,US West Coast,Rockfish
2012,Canary rockfish Pacific Coast,1.308077437,0.022727273,US West Coast,Rockfish
2013,Canary rockfish Pacific Coast,1.340787717,0.022727273,US West Coast,Rockfish
2014,Canary rockfish Pacific Coast,1.366154873,0.022727273,US West Coast,Rockfish
2015,Canary rockfish Pacific Coast,1.387182911,0.022727273,US West Coast,Rockfish
2016,Canary rockfish Pacific Coast,1.387182911,0.022727273,US West Coast,Rockfish
2017,Canary rockfish Pacific Coast,1.387182911,NA,US West Coast,Rockfish
1980,Chilipepper Southern Pacific Coast,1.252038284,1.231707317,US West Coast,Rockfish
1981,Chilipepper Southern Pacific Coast,1.202056009,1.134146341,US West Coast,Rockfish
1982,Chilipepper Southern Pacific Coast,1.160935838,1.06097561,US West Coast,Rockfish
1983,Chilipepper Southern Pacific Coast,1.114852889,1.12195122,US West Coast,Rockfish
1984,Chilipepper Southern Pacific Coast,1.036157391,1.475609756,US West Coast,Rockfish
1985,Chilipepper Southern Pacific Coast,0.918823112,1.890243902,US West Coast,Rockfish
1986,Chilipepper Southern Pacific Coast,0.760014179,1.780487805,US West Coast,Rockfish
1987,Chilipepper Southern Pacific Coast,0.72988302,1.12195122,US West Coast,Rockfish
1988,Chilipepper Southern Pacific Coast,0.820276498,1.414634146,US West Coast,Rockfish
1989,Chilipepper Southern Pacific Coast,0.865650479,1.719512195,US West Coast,Rockfish
1990,Chilipepper Southern Pacific Coast,0.829847572,1.646341463,US West Coast,Rockfish
1991,Chilipepper Southern Pacific Coast,0.793335697,1.780487805,US West Coast,Rockfish
1992,Chilipepper Southern Pacific Coast,0.750088621,1.573170732,US West Coast,Rockfish
1993,Chilipepper Southern Pacific Coast,0.698333924,1.463414634,US West Coast,Rockfish
1994,Chilipepper Southern Pacific Coast,0.660404112,1.231707317,US West Coast,Rockfish
1995,Chilipepper Southern Pacific Coast,0.638071606,1.329268293,US West Coast,Rockfish
1996,Chilipepper Southern Pacific Coast,0.613612194,1.292682927,US West Coast,Rockfish
1997,Chilipepper Southern Pacific Coast,0.592697625,1.56097561,US West Coast,Rockfish
1998,Chilipepper Southern Pacific Coast,0.546260191,1.170731707,US West Coast,Rockfish
1999,Chilipepper Southern Pacific Coast,0.521446296,0.865853659,US West Coast,Rockfish
2000,Chilipepper Southern Pacific Coast,0.543778802,0.548780488,US West Coast,Rockfish
2001,Chilipepper Southern Pacific Coast,0.583481035,0.292682927,US West Coast,Rockfish
2002,Chilipepper Southern Pacific Coast,0.795108118,0.146341463,US West Coast,Rockfish
2003,Chilipepper Southern Pacific Coast,1.075859624,0.012195122,US West Coast,Rockfish
2004,Chilipepper Southern Pacific Coast,1.320808224,0.048780488,US West Coast,Rockfish
2005,Chilipepper Southern Pacific Coast,1.485643389,0.024390244,US West Coast,Rockfish
2006,Chilipepper Southern Pacific Coast,1.59482453,0.036585366,US West Coast,Rockfish
2007,Chilipepper Southern Pacific Coast,1.643388869,0.048780488,US West Coast,Rockfish
2008,Chilipepper Southern Pacific Coast,1.636653669,0.048780488,US West Coast,Rockfish
2009,Chilipepper Southern Pacific Coast,1.58560794,0.12195122,US West Coast,Rockfish
2010,Chilipepper Southern Pacific Coast,1.51506558,0.158536585,US West Coast,Rockfish
2011,Chilipepper Southern Pacific Coast,1.43707905,0.134146341,US West Coast,Rockfish
2012,Chilipepper Southern Pacific Coast,1.422545197,0.109756098,US West Coast,Rockfish
2013,Chilipepper Southern Pacific Coast,1.480326125,0.146341463,US West Coast,Rockfish
2014,Chilipepper Southern Pacific Coast,1.54696916,0.109756098,US West Coast,Rockfish
2015,Chilipepper Southern Pacific Coast,1.600496278,0.109756098,US West Coast,Rockfish
2016,Chilipepper Southern Pacific Coast,1.600496278,0.109756098,US West Coast,Rockfish
2017,Chilipepper Southern Pacific Coast,1.600496278,NA,US West Coast,Rockfish
1980,Cowcod Southern California,0.828064516,4.36,US West Coast,Rockfish
1981,Cowcod Southern California,0.734354839,4.74,US West Coast,Rockfish
1982,Cowcod Southern California,0.652096774,8.1,US West Coast,Rockfish
1983,Cowcod Southern California,0.484032258,5.9,US West Coast,Rockfish
1984,Cowcod Southern California,0.441612903,8.32,US West Coast,Rockfish
1985,Cowcod Southern California,0.358387097,9.36,US West Coast,Rockfish
1986,Cowcod Southern California,0.293225806,10.7,US West Coast,Rockfish
1987,Cowcod Southern California,0.237741935,7.18,US West Coast,Rockfish
1988,Cowcod Southern California,0.252741935,6.42,US West Coast,Rockfish
1989,Cowcod Southern California,0.265483871,2.34,US West Coast,Rockfish
1990,Cowcod Southern California,0.322580645,1.52,US West Coast,Rockfish
1991,Cowcod Southern California,0.373870968,1.14,US West Coast,Rockfish
1992,Cowcod Southern California,0.420967742,1.38,US West Coast,Rockfish
1993,Cowcod Southern California,0.449354839,0.88,US West Coast,Rockfish
1994,Cowcod Southern California,0.47016129,1.36,US West Coast,Rockfish
1995,Cowcod Southern California,0.473387097,0.86,US West Coast,Rockfish
1996,Cowcod Southern California,0.480645161,1,US West Coast,Rockfish
1997,Cowcod Southern California,0.472419355,0.32,US West Coast,Rockfish
1998,Cowcod Southern California,0.47516129,0.14,US West Coast,Rockfish
1999,Cowcod Southern California,0.485,0.24,US West Coast,Rockfish
2000,Cowcod Southern California,0.494354839,0.16,US West Coast,Rockfish
2001,Cowcod Southern California,0.512903226,0.02,US West Coast,Rockfish
2002,Cowcod Southern California,0.540483871,0.02,US West Coast,Rockfish
2003,Cowcod Southern California,0.573064516,0.02,US West Coast,Rockfish
2004,Cowcod Southern California,0.604354839,0.02,US West Coast,Rockfish
2005,Cowcod Southern California,0.638064516,0,US West Coast,Rockfish
2006,Cowcod Southern California,0.668548387,0,US West Coast,Rockfish
2007,Cowcod Southern California,0.698709677,0,US West Coast,Rockfish
2008,Cowcod Southern California,0.721935484,0,US West Coast,Rockfish
2009,Cowcod Southern California,0.747096774,0,US West Coast,Rockfish
2010,Cowcod Southern California,0.772741935,0,US West Coast,Rockfish
2011,Cowcod Southern California,0.798225806,0.02,US West Coast,Rockfish
2012,Cowcod Southern California,0.820967742,0.02,US West Coast,Rockfish
2013,Cowcod Southern California,0.845967742,0.02,US West Coast,Rockfish
2014,Cowcod Southern California,0.845967742,0.02,US West Coast,Rockfish
2015,Cowcod Southern California,0.845967742,0.02,US West Coast,Rockfish
2016,Cowcod Southern California,0.845967742,0.02,US West Coast,Rockfish
2017,Cowcod Southern California,0.845967742,NA,US West Coast,Rockfish
1980,Darkblotched rockfish Pacific Coast,1.596409055,0.597045455,US West Coast,Rockfish
1981,Darkblotched rockfish Pacific Coast,1.570647931,0.820454545,US West Coast,Rockfish
1982,Darkblotched rockfish Pacific Coast,1.525370804,1.142954545,US West Coast,Rockfish
1983,Darkblotched rockfish Pacific Coast,1.457455113,1.174545455,US West Coast,Rockfish
1984,Darkblotched rockfish Pacific Coast,1.391100703,1.4275,US West Coast,Rockfish
1985,Darkblotched rockfish Pacific Coast,1.317720531,2.001818182,US West Coast,Rockfish
1986,Darkblotched rockfish Pacific Coast,1.220921155,1.527954545,US West Coast,Rockfish
1987,Darkblotched rockfish Pacific Coast,1.162373146,3.082045455,US West Coast,Rockfish
1988,Darkblotched rockfish Pacific Coast,1.032006245,2.408181818,US West Coast,Rockfish
1989,Darkblotched rockfish Pacific Coast,0.944574551,2.03,US West Coast,Rockfish
1990,Darkblotched rockfish Pacific Coast,0.87587822,2.866136364,US West Coast,Rockfish
1991,Darkblotched rockfish Pacific Coast,0.777517564,2.287272727,US West Coast,Rockfish
1992,Darkblotched rockfish Pacific Coast,0.711943794,1.406590909,US West Coast,Rockfish
1993,Darkblotched rockfish Pacific Coast,0.68462139,2.535454545,US West Coast,Rockfish
1994,Darkblotched rockfish Pacific Coast,0.629195941,2.021363636,US West Coast,Rockfish
1995,Darkblotched rockfish Pacific Coast,0.592505855,1.970681818,US West Coast,Rockfish
1996,Darkblotched rockfish Pacific Coast,0.558157689,1.989772727,US West Coast,Rockfish
1997,Darkblotched rockfish Pacific Coast,0.521467603,2.325227273,US West Coast,Rockfish
1998,Darkblotched rockfish Pacific Coast,0.476971116,2.779090909,US West Coast,Rockfish
1999,Darkblotched rockfish Pacific Coast,0.423887588,1.157045455,US West Coast,Rockfish
2000,Darkblotched rockfish Pacific Coast,0.412177986,0.809090909,US West Coast,Rockfish
2001,Darkblotched rockfish Pacific Coast,0.416081187,0.517727273,US West Coast,Rockfish
2002,Darkblotched rockfish Pacific Coast,0.433255269,0.6725,US West Coast,Rockfish
2003,Darkblotched rockfish Pacific Coast,0.451209992,0.485,US West Coast,Rockfish
2004,Darkblotched rockfish Pacific Coast,0.474629196,0.538636364,US West Coast,Rockfish
2005,Darkblotched rockfish Pacific Coast,0.506635441,0.269772727,US West Coast,Rockfish
2006,Darkblotched rockfish Pacific Coast,0.558938329,0.379318182,US West Coast,Rockfish
2007,Darkblotched rockfish Pacific Coast,0.616705699,0.480681818,US West Coast,Rockfish
2008,Darkblotched rockfish Pacific Coast,0.668227947,0.440681818,US West Coast,Rockfish
2009,Darkblotched rockfish Pacific Coast,0.712724434,0.486136364,US West Coast,Rockfish
2010,Darkblotched rockfish Pacific Coast,0.75019516,0.565,US West Coast,Rockfish
2011,Darkblotched rockfish Pacific Coast,0.782201405,0.181590909,US West Coast,Rockfish
2012,Darkblotched rockfish Pacific Coast,0.828259173,0.138636364,US West Coast,Rockfish
2013,Darkblotched rockfish Pacific Coast,0.87665886,0.174090909,US West Coast,Rockfish
2014,Darkblotched rockfish Pacific Coast,0.928181109,0.138181818,US West Coast,Rockfish
2015,Darkblotched rockfish Pacific Coast,0.984387198,0.138181818,US West Coast,Rockfish
2016,Darkblotched rockfish Pacific Coast,0.984387198,0.138181818,US West Coast,Rockfish
2017,Darkblotched rockfish Pacific Coast,0.984387198,NA,US West Coast,Rockfish
1980,Dover sole Pacific Coast,3.658346599,0.178294574,US West Coast,Flatfish
1981,Dover sole Pacific Coast,3.572254335,0.224806202,US West Coast,Flatfish
1982,Dover sole Pacific Coast,3.47340104,0.294573643,US West Coast,Flatfish
1983,Dover sole Pacific Coast,3.353435433,0.286821705,US West Coast,Flatfish
1984,Dover sole Pacific Coast,3.247039594,0.294573643,US West Coast,Flatfish
1985,Dover sole Pacific Coast,3.150842364,0.317829457,US West Coast,Flatfish
1986,Dover sole Pacific Coast,3.052516877,0.279069767,US West Coast,Flatfish
1987,Dover sole Pacific Coast,2.976682813,0.302325581,US West Coast,Flatfish
1988,Dover sole Pacific Coast,2.901819234,0.302325581,US West Coast,Flatfish
1989,Dover sole Pacific Coast,2.833595818,0.333333333,US West Coast,Flatfish
1990,Dover sole Pacific Coast,2.761618157,0.286821705,US West Coast,Flatfish
1991,Dover sole Pacific Coast,2.705602425,0.333333333,US West Coast,Flatfish
1992,Dover sole Pacific Coast,2.635778559,0.302325581,US West Coast,Flatfish
1993,Dover sole Pacific Coast,2.578630594,0.271317829,US West Coast,Flatfish
1994,Dover sole Pacific Coast,2.542458733,0.178294574,US West Coast,Flatfish
1995,Dover sole Pacific Coast,2.55515166,0.19379845,US West Coast,Flatfish
1996,Dover sole Pacific Coast,2.586888232,0.201550388,US West Coast,Flatfish
1997,Dover sole Pacific Coast,2.628099807,0.162790698,US West Coast,Flatfish
1998,Dover sole Pacific Coast,2.697404377,0.124031008,US West Coast,Flatfish
1999,Dover sole Pacific Coast,2.79661522,0.139534884,US West Coast,Flatfish
2000,Dover sole Pacific Coast,2.900397558,0.131782946,US West Coast,Flatfish
2001,Dover sole Pacific Coast,2.996645866,0.100775194,US West Coast,Flatfish
2002,Dover sole Pacific Coast,3.077519644,0.093023256,US West Coast,Flatfish
2003,Dover sole Pacific Coast,3.13621698,0.100775194,US West Coast,Flatfish
2004,Dover sole Pacific Coast,3.179718559,0.085271318,US West Coast,Flatfish
2005,Dover sole Pacific Coast,3.227391523,0.085271318,US West Coast,Flatfish
2006,Dover sole Pacific Coast,3.273736454,0.069767442,US West Coast,Flatfish
2007,Dover sole Pacific Coast,3.32768352,0.108527132,US West Coast,Flatfish
2008,Dover sole Pacific Coast,3.371908706,0.139534884,US West Coast,Flatfish
2009,Dover sole Pacific Coast,3.396026118,0.147286822,US West Coast,Flatfish
2010,Dover sole Pacific Coast,3.386789481,0.131782946,US West Coast,Flatfish
2011,Dover sole Pacific Coast,3.349936578,0.131782946,US West Coast,Flatfish
2012,Dover sole Pacific Coast,3.349936578,0.131782946,US West Coast,Flatfish
2013,Dover sole Pacific Coast,3.349936578,0.131782946,US West Coast,Flatfish
2014,Dover sole Pacific Coast,3.349936578,0.131782946,US West Coast,Flatfish
2015,Dover sole Pacific Coast,3.349936578,0.131782946,US West Coast,Flatfish
2016,Dover sole Pacific Coast,3.349936578,0.131782946,US West Coast,Flatfish
2017,Dover sole Pacific Coast,3.349936578,NA,US West Coast,Flatfish
1980,English sole Pacific Coast,0.973689691,1.076923077,US West Coast,Flatfish
1981,English sole Pacific Coast,0.96945505,1.076923077,US West Coast,Flatfish
1982,English sole Pacific Coast,0.851509892,1.230769231,US West Coast,Flatfish
1983,English sole Pacific Coast,0.726969802,1.153846154,US West Coast,Flatfish
1984,English sole Pacific Coast,0.656091635,0.923076923,US West Coast,Flatfish
1985,English sole Pacific Coast,0.639361333,1.153846154,US West Coast,Flatfish
1986,English sole Pacific Coast,0.621381465,1.230769231,US West Coast,Flatfish
1987,English sole Pacific Coast,0.632835821,1.461538462,US West Coast,Flatfish
1988,English sole Pacific Coast,0.640680319,1.230769231,US West Coast,Flatfish
1989,English sole Pacific Coast,0.64901076,1.461538462,US West Coast,Flatfish
1990,English sole Pacific Coast,0.587920861,1.230769231,US West Coast,Flatfish
1991,English sole Pacific Coast,0.610621312,1.461538462,US West Coast,Flatfish
1992,English sole Pacific Coast,0.563137799,1.230769231,US West Coast,Flatfish
1993,English sole Pacific Coast,0.580076362,1.153846154,US West Coast,Flatfish
1994,English sole Pacific Coast,0.614578271,0.769230769,US West Coast,Flatfish
1995,English sole Pacific Coast,0.663519611,0.769230769,US West Coast,Flatfish
1996,English sole Pacific Coast,0.675737591,0.692307692,US West Coast,Flatfish
1997,English sole Pacific Coast,0.696355432,0.846153846,US West Coast,Flatfish
1998,English sole Pacific Coast,0.765150989,0.538461538,US West Coast,Flatfish
1999,English sole Pacific Coast,0.922596321,0.384615385,US West Coast,Flatfish
2000,English sole Pacific Coast,1.111141965,0.307692308,US West Coast,Flatfish
2001,English sole Pacific Coast,1.396737244,0.307692308,US West Coast,Flatfish
2002,English sole Pacific Coast,1.84276293,0.230769231,US West Coast,Flatfish
2003,English sole Pacific Coast,2.328913572,0.153846154,US West Coast,Flatfish
2004,English sole Pacific Coast,2.675043388,0.153846154,US West Coast,Flatfish
2005,English sole Pacific Coast,2.848247136,0.153846154,US West Coast,Flatfish
2006,English sole Pacific Coast,2.929052412,0.153846154,US West Coast,Flatfish
2007,English sole Pacific Coast,2.909198195,0.153846154,US West Coast,Flatfish
2008,English sole Pacific Coast,2.909198195,0.153846154,US West Coast,Flatfish
2009,English sole Pacific Coast,2.909198195,0.153846154,US West Coast,Flatfish
2010,English sole Pacific Coast,2.909198195,0.153846154,US West Coast,Flatfish
2011,English sole Pacific Coast,2.909198195,0.153846154,US West Coast,Flatfish
2012,English sole Pacific Coast,2.909198195,0.153846154,US West Coast,Flatfish
2013,English sole Pacific Coast,2.909198195,0.153846154,US West Coast,Flatfish
2014,English sole Pacific Coast,2.909198195,0.153846154,US West Coast,Flatfish
2015,English sole Pacific Coast,2.909198195,0.153846154,US West Coast,Flatfish
2016,English sole Pacific Coast,2.909198195,0.153846154,US West Coast,Flatfish
2017,English sole Pacific Coast,2.909198195,NA,US West Coast,Flatfish
1980,Lingcod Northern Pacific Coast,1.764399093,1.065714286,US West Coast,Other Marine
1981,Lingcod Northern Pacific Coast,1.603099017,1.132857143,US West Coast,Other Marine
1982,Lingcod Northern Pacific Coast,1.47467876,1.436428571,US West Coast,Other Marine
1983,Lingcod Northern Pacific Coast,1.353363568,1.21,US West Coast,Other Marine
1984,Lingcod Northern Pacific Coast,1.209826153,1.248571429,US West Coast,Other Marine
1985,Lingcod Northern Pacific Coast,1.057596372,1.005,US West Coast,Other Marine
1986,Lingcod Northern Pacific Coast,0.890249433,0.835714286,US West Coast,Other Marine
1987,Lingcod Northern Pacific Coast,0.826681784,1.227142857,US West Coast,Other Marine
1988,Lingcod Northern Pacific Coast,0.74021164,1.425714286,US West Coast,Other Marine
1989,Lingcod Northern Pacific Coast,0.663794407,1.872142857,US West Coast,Other Marine
1990,Lingcod Northern Pacific Coast,0.571428571,1.783571429,US West Coast,Other Marine
1991,Lingcod Northern Pacific Coast,0.489720333,1.440714286,US West Coast,Other Marine
1992,Lingcod Northern Pacific Coast,0.365457294,1.219285714,US West Coast,Other Marine
1993,Lingcod Northern Pacific Coast,0.302040816,1.418571429,US West Coast,Other Marine
1994,Lingcod Northern Pacific Coast,0.25313681,1.082857143,US West Coast,Other Marine
1995,Lingcod Northern Pacific Coast,0.243159486,0.926428571,US West Coast,Other Marine
1996,Lingcod Northern Pacific Coast,0.269009826,0.789285714,US West Coast,Other Marine
1997,Lingcod Northern Pacific Coast,0.289115646,0.815,US West Coast,Other Marine
1998,Lingcod Northern Pacific Coast,0.301738473,0.444285714,US West Coast,Other Marine
1999,Lingcod Northern Pacific Coast,0.348450491,0.375714286,US West Coast,Other Marine
2000,Lingcod Northern Pacific Coast,0.396371882,0.131428571,US West Coast,Other Marine
2001,Lingcod Northern Pacific Coast,0.455782313,0.122857143,US West Coast,Other Marine
2002,Lingcod Northern Pacific Coast,0.517006803,0.13,US West Coast,Other Marine
2003,Lingcod Northern Pacific Coast,0.592365835,0.062857143,US West Coast,Other Marine
2004,Lingcod Northern Pacific Coast,0.713303099,0.059285714,US West Coast,Other Marine
2005,Lingcod Northern Pacific Coast,0.883522298,0.043571429,US West Coast,Other Marine
2006,Lingcod Northern Pacific Coast,1.078684807,0.036428571,US West Coast,Other Marine
2007,Lingcod Northern Pacific Coast,1.263038549,0.040714286,US West Coast,Other Marine
2008,Lingcod Northern Pacific Coast,1.419047619,0.032142857,US West Coast,Other Marine
2009,Lingcod Northern Pacific Coast,1.54829932,0.032142857,US West Coast,Other Marine
2010,Lingcod Northern Pacific Coast,1.54829932,0.032142857,US West Coast,Other Marine
2011,Lingcod Northern Pacific Coast,1.54829932,0.032142857,US West Coast,Other Marine
2012,Lingcod Northern Pacific Coast,1.54829932,0.032142857,US West Coast,Other Marine
2013,Lingcod Northern Pacific Coast,1.54829932,0.032142857,US West Coast,Other Marine
2014,Lingcod Northern Pacific Coast,1.54829932,0.032142857,US West Coast,Other Marine
2015,Lingcod Northern Pacific Coast,1.54829932,0.032142857,US West Coast,Other Marine
2016,Lingcod Northern Pacific Coast,1.54829932,0.032142857,US West Coast,Other Marine
2017,Lingcod Northern Pacific Coast,1.54829932,NA,US West Coast,Other Marine
1980,Lingcod Southern Pacific Coast,0.579217701,1.448543689,US West Coast,Other Marine
1981,Lingcod Southern Pacific Coast,0.486171474,1.539805825,US West Coast,Other Marine
1982,Lingcod Southern Pacific Coast,0.412287633,1.952427184,US West Coast,Other Marine
1983,Lingcod Southern Pacific Coast,0.343342552,1.644660194,US West Coast,Other Marine
1984,Lingcod Southern Pacific Coast,0.314796523,1.697087379,US West Coast,Other Marine
1985,Lingcod Southern Pacific Coast,0.282694587,1.366019417,US West Coast,Other Marine
1986,Lingcod Southern Pacific Coast,0.232911893,1.13592233,US West Coast,Other Marine
1987,Lingcod Southern Pacific Coast,0.217107863,1.667961165,US West Coast,Other Marine
1988,Lingcod Southern Pacific Coast,0.21592256,1.937864078,US West Coast,Other Marine
1989,Lingcod Southern Pacific Coast,0.207427894,2.544660194,US West Coast,Other Marine
1990,Lingcod Southern Pacific Coast,0.180956144,2.424271845,US West Coast,Other Marine
1991,Lingcod Southern Pacific Coast,0.164855788,1.958252427,US West Coast,Other Marine
1992,Lingcod Southern Pacific Coast,0.155274595,1.657281553,US West Coast,Other Marine
1993,Lingcod Southern Pacific Coast,0.147668906,1.92815534,US West Coast,Other Marine
1994,Lingcod Southern Pacific Coast,0.153990518,1.47184466,US West Coast,Other Marine
1995,Lingcod Southern Pacific Coast,0.183030423,1.259223301,US West Coast,Other Marine
1996,Lingcod Southern Pacific Coast,0.211280126,1.072815534,US West Coast,Other Marine
1997,Lingcod Southern Pacific Coast,0.228763335,1.10776699,US West Coast,Other Marine
1998,Lingcod Southern Pacific Coast,0.245456341,0.603883495,US West Coast,Other Marine
1999,Lingcod Southern Pacific Coast,0.277459502,0.510679612,US West Coast,Other Marine
2000,Lingcod Southern Pacific Coast,0.311833267,0.178640777,US West Coast,Other Marine
2001,Lingcod Southern Pacific Coast,0.37623469,0.166990291,US West Coast,Other Marine
2002,Lingcod Southern Pacific Coast,0.463551956,0.176699029,US West Coast,Other Marine
2003,Lingcod Southern Pacific Coast,0.571710786,0.085436893,US West Coast,Other Marine
2004,Lingcod Southern Pacific Coast,0.718885816,0.080582524,US West Coast,Other Marine
2005,Lingcod Southern Pacific Coast,0.958020545,0.059223301,US West Coast,Other Marine
2006,Lingcod Southern Pacific Coast,1.208316871,0.049514563,US West Coast,Other Marine
2007,Lingcod Southern Pacific Coast,1.44725405,0.055339806,US West Coast,Other Marine
2008,Lingcod Southern Pacific Coast,1.665448439,0.04368932,US West Coast,Other Marine
2009,Lingcod Southern Pacific Coast,1.665448439,0.04368932,US West Coast,Other Marine
2010,Lingcod Southern Pacific Coast,1.665448439,0.04368932,US West Coast,Other Marine
2011,Lingcod Southern Pacific Coast,1.665448439,0.04368932,US West Coast,Other Marine
2012,Lingcod Southern Pacific Coast,1.665448439,0.04368932,US West Coast,Other Marine
2013,Lingcod Southern Pacific Coast,1.665448439,0.04368932,US West Coast,Other Marine
2014,Lingcod Southern Pacific Coast,1.665448439,0.04368932,US West Coast,Other Marine
2015,Lingcod Southern Pacific Coast,1.665448439,0.04368932,US West Coast,Other Marine
2016,Lingcod Southern Pacific Coast,1.665448439,0.04368932,US West Coast,Other Marine
2017,Lingcod Southern Pacific Coast,1.665448439,NA,US West Coast,Other Marine
1980,Longspine thornyhead Pacific Coast,2.163089306,0.166666667,US West Coast,Rockfish
1981,Longspine thornyhead Pacific Coast,2.127507346,0,US West Coast,Rockfish
1982,Longspine thornyhead Pacific Coast,2.107384694,0.166666667,US West Coast,Rockfish
1983,Longspine thornyhead Pacific Coast,2.084770666,0,US West Coast,Rockfish
1984,Longspine thornyhead Pacific Coast,2.077488182,0.166666667,US West Coast,Rockfish
1985,Longspine thornyhead Pacific Coast,2.079276862,0.166666667,US West Coast,Rockfish
1986,Longspine thornyhead Pacific Coast,2.075827265,0.166666667,US West Coast,Rockfish
1987,Longspine thornyhead Pacific Coast,2.098824582,0.333333333,US West Coast,Rockfish
1988,Longspine thornyhead Pacific Coast,2.127507346,0.666666667,US West Coast,Rockfish
1989,Longspine thornyhead Pacific Coast,2.106170947,0.833333333,US West Coast,Rockfish
1990,Longspine thornyhead Pacific Coast,2.063498147,1.666666667,US West Coast,Rockfish
1991,Longspine thornyhead Pacific Coast,1.908905072,1,US West Coast,Rockfish
1992,Longspine thornyhead Pacific Coast,1.854350326,1.5,US West Coast,Rockfish
1993,Longspine thornyhead Pacific Coast,1.721221413,1.666666667,US West Coast,Rockfish
1994,Longspine thornyhead Pacific Coast,1.589817299,1.5,US West Coast,Rockfish
1995,Longspine thornyhead Pacific Coast,1.488565223,1.833333333,US West Coast,Rockfish
1996,Longspine thornyhead Pacific Coast,1.359716366,1.833333333,US West Coast,Rockfish
1997,Longspine thornyhead Pacific Coast,1.256739492,1.666666667,US West Coast,Rockfish
1998,Longspine thornyhead Pacific Coast,1.179570717,1,US West Coast,Rockfish
1999,Longspine thornyhead Pacific Coast,1.161620033,0.833333333,US West Coast,Rockfish
2000,Longspine thornyhead Pacific Coast,1.16193944,0.666666667,US West Coast,Rockfish
2001,Longspine thornyhead Pacific Coast,1.180784464,0.5,US West Coast,Rockfish
2002,Longspine thornyhead Pacific Coast,1.217835697,0.833333333,US West Coast,Rockfish
2003,Longspine thornyhead Pacific Coast,1.237894468,0.666666667,US West Coast,Rockfish
2004,Longspine thornyhead Pacific Coast,1.274945701,0.333333333,US West Coast,Rockfish
2005,Longspine thornyhead Pacific Coast,1.345343043,0.166666667,US West Coast,Rockfish
2006,Longspine thornyhead Pacific Coast,1.420978664,0.333333333,US West Coast,Rockfish
2007,Longspine thornyhead Pacific Coast,1.497380861,0.333333333,US West Coast,Rockfish
2008,Longspine thornyhead Pacific Coast,1.576210553,0.333333333,US West Coast,Rockfish
2009,Longspine thornyhead Pacific Coast,1.642072314,0.333333333,US West Coast,Rockfish
2010,Longspine thornyhead Pacific Coast,1.710169925,0.333333333,US West Coast,Rockfish
2011,Longspine thornyhead Pacific Coast,1.768813083,0.166666667,US West Coast,Rockfish
2012,Longspine thornyhead Pacific Coast,1.833269452,0.166666667,US West Coast,Rockfish
2013,Longspine thornyhead Pacific Coast,1.87811422,0.166666667,US West Coast,Rockfish
2014,Longspine thornyhead Pacific Coast,1.87811422,0.166666667,US West Coast,Rockfish
2015,Longspine thornyhead Pacific Coast,1.87811422,0.166666667,US West Coast,Rockfish
2016,Longspine thornyhead Pacific Coast,1.87811422,0.166666667,US West Coast,Rockfish
2017,Longspine thornyhead Pacific Coast,1.87811422,NA,US West Coast,Rockfish
1980,Pacific hake Pacific Coast,1.639952153,0.112612613,US West Coast,Gadids
1981,Pacific hake Pacific Coast,1.605263158,0.207207207,US West Coast,Gadids
1982,Pacific hake Pacific Coast,2.16507177,0.193693694,US West Coast,Gadids
1983,Pacific hake Pacific Coast,2.698564593,0.099099099,US West Coast,Gadids
1984,Pacific hake Pacific Coast,2.854066986,0.121621622,US West Coast,Gadids
1985,Pacific hake Pacific Coast,2.714114833,0.108108108,US West Coast,Gadids
1986,Pacific hake Pacific Coast,2.958133971,0.238738739,US West Coast,Gadids
1987,Pacific hake Pacific Coast,3.094497608,0.189189189,US West Coast,Gadids
1988,Pacific hake Pacific Coast,2.942583732,0.220720721,US West Coast,Gadids
1989,Pacific hake Pacific Coast,2.814593301,0.342342342,US West Coast,Gadids
1990,Pacific hake Pacific Coast,2.647129187,0.265765766,US West Coast,Gadids
1991,Pacific hake Pacific Coast,2.397129187,0.355855856,US West Coast,Gadids
1992,Pacific hake Pacific Coast,2.161483254,0.427927928,US West Coast,Gadids
1993,Pacific hake Pacific Coast,1.93062201,0.333333333,US West Coast,Gadids
1994,Pacific hake Pacific Coast,1.684210526,0.653153153,US West Coast,Gadids
